id,title,story_ref,story_type,need,type,severity,inclusion_risk,evidence,notes,candidate_fix
1,Filter selection resets on page reload,stories.md#S1,Job story,Reduce cognitive load,Usability,Low,"Cognitive,Memory","stories.md#S1",Current implementation doesn't persist filter state in session or URL,false
2,No confirmation after form submission,stories.md#S2,Job story,Trust & feedback,Accessibility,Medium,"Cognitive,SR,Low digital literacy","stories.md#S2",HTMX shows status in live region (good) but no-JS path gives no feedback (PRG redirect with no message),false
3,Changes don't sync across devices,stories.md#S3,Job story,Data persistence,Usability,Medium,"Cognitive load,All users","stories.md#S3",No real-time sync mechanism; users experience data loss when switching devices,false
4,Touch targets too small on mobile,stories.md#S4,Job story,Motor accessibility,Accessibility,Medium,"Motor,Tremors,Touch users,Older adults","stories.md#S4; WCAG 2.5.5",Checkboxes and buttons below 44x44px minimum; causes accidental clicks and deletions,true
5,Buttons lack descriptive labels for screen readers,stories.md#S5,Job story,Screen reader usability,Accessibility,Medium,"Blind,SR users,Cognitive","stories.md#S5; WCAG 4.1.2",Generic announcements like "button, button, button" without context; needs aria-label or visually hidden text,false
6,Modal dialogs have keyboard trap,stories.md#S6,Job story,Keyboard navigation,Accessibility,High,"Keyboard-only,SR users,Motor","stories.md#S6; WCAG 2.1.2",No Escape key handler to close modals; users get trapped with no exit method,false
7,Layout breaks at 200% zoom,stories.md#S7,Job story,Visual accessibility,Accessibility,Medium,"Low vision,Older adults","stories.md#S7; WCAG 1.4.10",Content disappears or requires horizontal scrolling at high zoom; layout not responsive to text scaling,true
8,Drag-and-drop is only reordering method,stories.md#S8,Job story,Motor accessibility,Accessibility,Low,"Motor,RSI,Trackball users,Keyboard-only","stories.md#S8; WCAG 2.1.1",No keyboard or button-based alternative for task reordering; excludes users who can't use drag-and-drop,false
9,Delete button text contrast 4.2:1 (fails AA),wk07/audit/axe-report.md#Issue2,WCAG violation,Visibility,Accessibility,High,"Low vision,Situational","axe: color-contrast; WCAG 1.4.3","Pico.css default gray #6c757d on white = 4.2:1; needs 4.5:1",true
10,Focus outline too faint (Pico.css default),wk07/audit/wcag-checklist.md#2.4.7,WCAG partial,Visibility,Accessibility,Medium,Keyboard,"Manual test: outline visible but faint","Add custom :focus { outline: 3px solid #1976d2; }",false
11,No confirmation for delete action,wk07/audit/heuristics.md#H3,Heuristic violation,Error prevention,Usability,Medium,"Motor,Cognitive","Nielsen H3 + H5","Accidental clicks cause permanent deletion; add confirmation dialog",true
12,No undo feature for delete,wk07/audit/heuristics.md#H3,Heuristic violation,Customer control,Usability,Low,"Motor,
Cognitive","Nielsen H3","Defer to Semester 2; requires state management",false
13,No help documentation or tooltips,wk07/audit/heuristics.md#H10,Heuristic violation,Learning support,Usability,Low,Cognitive,"Nielsen H10","Defer to Semester 2; low priority",false